languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
Take action for human rights. This course will teach you about the human rights of refugees and empower you to defend them.,English,None,Social Sciences,3-5 hours per week,Human Rights: The Rights of Refugees,English,Introductory,Amnesty InternationalX,FREE,3 weeks
"Learn JavaScript programming by implementing key biology concepts in code, including natural selection, genetics and epidemics.",English,,Computer Science,3-4 hours per week,"Nature, in Code: Biology in JavaScript",English,Intermediate,EPFLx,FREE,7 weeks
"Explore the history of Hollywood, from Edison and the birth of film to the rise of the internet.",English,None,Art & Culture,3-4 hours per week,"Hollywood: History, Industry, Art",English,Introductory,PennX,FREE,4 weeks (8 units)
"Learn why soil is so important, how it’s being threatened and what we can do to protect this natural resource so vital to our lives.",English,Basic: secondary school completed,Environmental Studies,7-9 hours per module,Sustainable Soil Management: Soil for life,English,Introductory,WageningenX,FREE,12 weeks
"Learn how to teach coding skills to your students by using Minecraft, one of the most popular games of all time.",English,Basic teaching experience,Education & Teacher Training,2-3 hours per week,"Minecraft, Coding and Teaching",English,Introductory,UC San DiegoX,FREE,4 weeks
Learn data analysis basics for working with biomedical big data with practical hands-on examples using R.,English,None,Data Analysis & Statistics,2-3 hours per week,Biostatistics for Big Data Applications,English,Introductory,UTMBx,FREE,8 weeks
An exploration of the haunting figure at the heart of one of William Shakespeare’s most famous plays.,English,None,Literature,6-8 hours per week,Hamlet’s Ghost,English,Introductory,HarvardX,FREE,3 weeks
Expand your C++ knowledge with this Intermediate-level course. Learn more about the language’s unique blend of low-level control and high-level OOP features.,English,,Computer Science,5-7 hours per week,Intermediate C++,English,Intermediate,Microsoft,FREE,4 weeks
Understand how to recognize addiction and to match a person with alcohol and other drug problems to treatment using a full range of evidence-based responses.,English,"A background in healthcare may be helpful prior to taking this course, but there are no formal prerequisites.",Biology & Life Sciences,2-3 hours per week,Managing Addiction: A Framework for Successful Treatment,English,Introductory,AdelaideX,FREE,5 weeks
"Learn about plasma applications from nuclear fusion powering the sun, to making integrated circuits, to generating electricity.",English,,Physics,5-6 hours per week,Plasma Physics: Applications,English,Intermediate,EPFLx,FREE,5 weeks
"Learn the basics of plasma, one of the fundamental states of matter, and the different types of models used to describe it, including fluid and kinetic.",English,,Physics,5-6 hours per week,Plasma Physics: Introduction,English,Intermediate,EPFLx,FREE,4 weeks
"Get an in-depth primer on OpenStack, the leading cloud computing platform, directly from The Linux Foundation, the leader in professional open source management and the platform provider for the Certified OpenStack Administrator exam.",English,Students should have experience with Linux.,Computer Science,3-4 hours/week,Introduction to OpenStack,English,Introductory,LinuxFoundationX,FREE,10 Weeks
"EXCLUSIVE! Complete a verified certificate in this self-paced course and receive digital artwork from comic book artist Dennis Calero (X-Factor, X-Men Noir), digitally signed by Stan Lee and Michael Uslan, and created exclusively for this course!",English,None.,Art & Culture,1-2 hours per week,The Rise of Superheroes and Their Impact On Pop Culture,English,Introductory,SmithsonianX,FREE,6 weeks
"Learn how UX research and design techniques can help you better understand user needs, prototype solutions, evaluate design concepts, and create a great user experience.",English,None,Design,2-3 hours per week,Introduction to User Experience,English,Intermediate,MichiganX,FREE,5 weeks
A workshop-style introduction to tools used in biological research. Discover how to analyze data using computational methods.,English,,Biology & Life Sciences,4-8 hours per week,Quantitative Biology Workshop,English,Intermediate,MITx,FREE,8 weeks
This course will give middle and high school history teachers new techniques to engage and motivate students with an inquiry-based approach to learning.,English,"This course is designed for secondary school social studies teachers or prospective teachers. However, we welcome all educators interested in this topic.",Education & Teacher Training,3 hours per week,Teaching Historical Inquiry with Objects,English,Introductory,SmithsonianX,FREE,6 weeks
"A self-paced, comprehensive course to prepare you for the AP Physics 1 exam.",English,Algebra and basic mathematical concepts.,Physics,3-4 hours per week,AP Physics 1,English,Introductory,RiceX,FREE,18 weeks
,English,None,Social Sciences,4-6 hours per week,Introduction to Sociology,English,Introductory,UTPermianBasinX,FREE,6 weeks
"Learn the values, techniques, and themes social workers use to help others as well as strategies for addressing social justice challenges. ",English,College-level maturity.,Social Sciences,2-3 hours per week,Social Work Practice: Advocating Social Justice and Change,English,Introductory,MichiganX,FREE,5 weeks
"PHYS 102.1x serves as an introduction to charge, the electric field, the electric potential, current, resistance, and DC circuits with resistors and capacitors.",English,,Physics,8-10 hours per week,"Electricity & Magnetism, Part 1",English,Introductory,RiceX,FREE,7 weeks
"Learn about the principles and practices of how grapes are grown and wine is made. Whether you’re a wine novice or a seasoned oenophile, you’ll learn to confidently describe wine appearance, aroma, flavour and taste.",English,,Chemistry,2-3 hours per week,World of Wine: From Grape to Glass,English,Introductory,AdelaideX,FREE,6 weeks
Discover the power of solar energy and learn how to design a complete photovoltaic system.,English,,Electronics,8 hours per week,Solar Energy,English,Introductory,DelftX,FREE,8 weeks
Learn how to lead change in social systems by exploring two root questions of creativity: Who is my Self? What is my Work?,English,None,Business & Management,1-2 hours to complete entire course,Awareness-Based Systems Change with u.lab - How to Sense and Actualize the Future,English,Introductory,MITx,FREE,1 week
Learn AP® Calculus BC topics from highly respected AP Calculus instructors to prepare for the AP® Calculus BC exam.,English,Foundational/prerequisite knowledge in Calculus AB and/or BC before attempting these units.,Math,2-3 hours per week,AP® Calculus BC,English,Introductory,Davidson Next,FREE,11 weeks
"Master the most challenging topics in your AP® Macroeconomics course.
 ",English,Basic understanding of macroeconomic terms and concepts.,Economics & Finance,2-3 hours per week,AP® Macroeconomics: Challenging Concepts,English,Introductory,Davidson Next,FREE,14 weeks
Learn all material in the AP® Macroeconomics curriculum from highly regarded AP instructors and college professors.,English,None.,Economics & Finance,2-3 hours per week,AP® Macroeconomics,English,Introductory,Davidson Next,FREE,18 weeks
Learn why knowledge management is so vital to keeping nuclear power operations running safely and efficiently.,English,Nuclear reactors basics,Business & Management,1-2 hours per week,Knowledge Management in Nuclear Energy Organizations,English,Intermediate,MEPhIx,FREE,8 weeks
Learn about successful collaborations between families and educators and why they lead to improved outcomes for students and schools.,English,None,Education & Teacher Training,2-4 hours per week,Introduction to Family Engagement in Education,English,Introductory,HarvardX,FREE,6 weeks
"Measure angles, prove geometric theorems, and discover how to calculate areas and volumes in this interactive course!",English,Basic algebra (solving an equation for an unknown value).,Math,4-6 hours per unit,Introduction to Geometry,English,Introductory,SchoolYourself,FREE,14 weeks
"Learn about respiration and the function of the lungs, oxygen and CO₂ in the body from medical experts.",English,,Biology & Life Sciences,3-5 hours per week,Respiration in the Human Body,English,Introductory,LouvainX,FREE,7 weeks
"Learn techniques that are foundational to the design of microchips used in smartphones, computers, and the Internet.",English,,Electronics,6 hours per week,Circuits and Electronics 1: Basic Circuit Analysis,English,Introductory,MITx,FREE,5 weeks
"Learn how to speed up digital circuits and build amplifiers in the design of microchips used in smartphones, computers, and the Internet.",English,"You should have a mathematical background of working with calculus and basic differential equations, and a high school physics background in electricity and magnetism. You should also have taken Circuits and Electronics 1, or have an equivalent background in basic circuit analysis.",Electronics,8 hours per week,"Circuits and Electronics 2: Amplification, Speed, and Delay",English,Intermediate,MITx,FREE,5 weeks
"Learn about cool applications, op-amps and filters in the design of microchips used in smartphones, computers, and the internet.",English,,Electronics,8-10 hours/week,Circuits and Electronics 3: Applications,English,Intermediate,MITx,FREE,7 weeks
"Learn how urban planning, energy, climate, ecology and mobility impact the livability and quality of life of a “future city.”",English,None,Architecture,3 hours per week,Quality of Life: Livability in Future Cities,English,Introductory,ETHx,FREE,11 weeks
This education and teacher training course discusses professionalism in the health professions teaching contexts and practices.,English,Participants should have a role in health professions teaching and have completed Level 1 or Level 2 of this series.,Education & Teacher Training,1-2 hours per week,Health Professional Teaching Skills – Level 3 - Professionalism,English,Intermediate,University of TorontoX,FREE,4 weeks
"Exploring the origin, fate and nature of our universe.",English,,Physics,3 hours/week,Astrophysics: Cosmology,English,Intermediate,ANUx,FREE,10 weeks
"Take the first step towards learning Mandarin Chinese, the most commonly spoken language in the world. ",English,None,Language,4 hours per week,Basic Mandarin Chinese – Level 1,English,Introductory,MandarinX,FREE,6 weeks
Learn two methods used to determine molecular structures and their properties in this introduction to Quantum Mechanics.,English,,Chemistry,3-4 hours per week,Quantum Mechanics of Molecular Structures,English,Intermediate,UTokyoX,FREE,4 weeks
Learn how to use behavioral economics to design experiments and develop tools to help people make better decisions.,English,None.,Business & Management,4-5 hours per week,Behavioral Economics in Action,English,Introductory,University of TorontoX,FREE,6 weeks
This MOOC brings faculty development to the teaching practice by providing teaching strategies that can be immediately applied in health professions teaching contexts and practices.,English,Participants should have a role in health professions teaching,Education & Teacher Training,1-2 hours per week,Health Professional Teaching Skills – Level 2 – Strategies,English,Introductory,University of TorontoX,FREE,4 weeks
