languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",English,None. This course is suitable for anyone preparing to take the Academic IELTS test.,Communication,5-10 hours per week,IELTS Academic Test Preparation,English,Introductory,UQx,FREE,8 weeks
"Learn how to make healthy choices and adjustments to your lifestyle and environment to help you live a healthier, happier and longer life.",English,Secondary school (high school),Health & Safety,2-3 hours per week,Healthy Ageing in 6 Steps. Let your environment do the work.,English,Introductory,DelftX,FREE,6 weeks
Learn the mathematics behind linear algebra and link it to matrix software development.,English,,Math,8 hours per week,Linear Algebra - Foundations to Frontiers,English,Intermediate,UTAustinX,FREE,15 weeks
"Learn the basic concepts behind Angular and the lifecycle of an Angular component. Plus, learn about the TypeScript compiler and how it’s used with Visual Studio Code.",English,Experience with web development fundamentals.,Computer Science,3-4 hours per week,Developing Dynamic Web Applications Using Angular,English,Intermediate,Microsoft,FREE,4 weeks
"Learn about urban water services, focusing on conventional technologies for drinking water treatment.",English,High school level of mathematics and chemistry is recommended.,Engineering,6-8 hours per week,Drinking Water Treatment,English,Intermediate,DelftX,FREE,7 weeks
"Learn about urban water services, focusing on basic sewage treatment technologies.",English,High school level of mathematics and chemistry is recommended.,Engineering,6-8 hours per week,Urban Sewage Treatment,English,Intermediate,DelftX,FREE,7 weeks
"Gain a solid understanding of statistics and basic probability, using Excel, and build on your data analysis and data science foundation.",English,,Data Analysis & Statistics,2-4 hours per week,Essential Statistics for Data Analysis using Excel,English,Intermediate,Microsoft,FREE,6 weeks
"The course deals with how to simulate and analyze stochastic processes, in particular the dynamics of small particles diffusing in a fluid.",English,Differential and integral calculus and Linear algebra at a 2nd year undergraduate level.,Physics,2-3 hours per week,Stochastic Processes: Data Analysis and Computer Simulation,English,Intermediate,KyotoUx,FREE,6 weeks
"Learn how to design, develop, and manage a multidimensional data model (a.k.a. cube) with SQL Server 2016 Analysis Services.",English,,Computer Science,2-3 hours per week,Developing a Multidimensional Data Model,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,English,None,Business & Management,2-4 hours per week,Financial Analysis for Decision Making,English,Introductory,BabsonX,FREE,4 weeks
"Explore emerging innovations in vocal production, audio engineering, recording, and mixing.",English,None,Engineering,5 hours per week,Vocal Recording Technology,English,Introductory,BerkleeX,FREE,6 weeks
"Learn the latest about the rapidly changing music industry from recording, publishing, and distribution to legal issues confronting music commerce.",English,None,Business & Management,5 hours per week,Introduction to the Music Business,English,Introductory,BerkleeX,FREE,6 weeks
"Learn how music can help reduce stress and improve your health, and well-being.",English,None,Humanities,5 hours per week,Music For Wellness,English,Introductory,BerkleeX,FREE,4 weeks
Learn the physics of how things move with this calculus-based course in mechanics.,English,Secondary school (high school) algebra and trigonometry. Calculus is needed but can be learned concurrently.,Physics,4 to 6 hours per week,"Introduction to Mechanics, Part 1",English,Intermediate,RiceX,FREE,6 weeks
A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,English,None,Biology & Life Sciences,2-4 hours per week,Cell Biology: Mitochondria,English,Introductory,HarvardX,FREE,4 weeks
Take the challenge and understand problems and solutions to managing tropical coastal ecosystems.,English,,Biology & Life Sciences,4-5 hours per week,Tropical Coastal Ecosystems,English,Introductory,UQx,FREE,9 weeks
Become a better manager by critically evaluating key management theories and concepts that form the foundation of modern management thinking.,English,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,Business & Management,8-10 hours per week,Evidence-Based Management Foundations,English,Intermediate,ANUx,FREE,6 weeks
Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,English,None,Language,2-4 hours per week,TOEFL® Test Preparation: The Insider’s Guide,English,Introductory,ETSx,FREE,13 weeks
"In the era of Smart Cities, learn the principles of urban infrastructure management and find ways to incorporate smart technologies into legacy infrastructures.",English,"All passionate learners interested in Smart Cities are welcomed. The course does not have any pre-requisites. However, in order to make the best of this MOOC, we strongly encourage you to enroll in our previous MOOC on the Management of Urban Infrastructures, which has been widely appraised by learners.",Business & Management,3-4 hours per week,"Smart Cities, Management of Smart Urban Infrastructures",English,Introductory,EPFLx,FREE,5 weeks
Learn the principles of managing urban infrastructure systems – the complex socio-technical systems that provide basic services to more than 50% of the world’s population.,English,No background is required; all passionate learners interested in managing and governing urban infrastructure systems are welcomed.,Business & Management,2-3 hours per week,Urban Infrastructure Management,English,Introductory,EPFLx,FREE,5 weeks
Writing professional code is a team sport. Learn how to elevate your game to the next level.,English,•  Knowledge of C# is required,Computer Science,3-4 hours per week,Writing Professional Code,English,Intermediate,Microsoft,FREE,4 weeks
,English,None,Computer Science,3-5 hours per week,Introduction to C#,English,Introductory,Microsoft,FREE,3 weeks
Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.,English,Curiosity and interest in cybersecurity,Computer Science,2-5 hours per week,Cybersecurity: The CISO's View,English,Introductory,UWashingtonX,FREE,4 weeks
A focus on the techniques commonly used to perform statistical inference on high throughput data.,English,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra",Biology & Life Sciences,2-4 hours per week,Statistical Inference and Modeling for High-throughput Experiments,English,Intermediate,HarvardX,FREE,4 weeks
A focus on several techniques that are widely used in the analysis of high-dimensional data.,English,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra, OR PH525.3x",Biology & Life Sciences,2-4 hours per week,High-Dimensional Data Analysis,English,Advanced,HarvardX,FREE,4 weeks
"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",English,None.,Law,3-5 hours per week,Contract Law: From Trust to Promise to Contract,English,Intermediate,HarvardX,FREE,8 weeks
"Learn how to conduct effective user research to better understand what users love, hate, want and need.",English,,Computer Science,3-4 hours per week,Understanding User Needs,English,Intermediate,MichiganX,FREE,4 weeks
Understand and navigate the complexities of Australia’s world-leading health care system by following patient journeys.,English,None,Health & Safety,1 – 2 hours per week,Understanding the Australian Health Care System,English,Introductory,UQx,FREE,9 weeks
Learn how to use math and science to solve everyday problems and better prepare yourself to continue studying science in high school and beyond.,English,Basic math concepts,Science,2-4 hours per week,Question Everything: Scientific Thinking in Real Life,English,Introductory,UQx,FREE,8 weeks
Want to learn Kubernetes? Get an in-depth primer on this powerful system for managing containerized applications.,English,"Basic knowledge of container technology like Docker, Rkt is required.",Computer Science,2-3 hours per week,Introduction to Kubernetes,English,Introductory,LinuxFoundationX,FREE,4-5 weeks
Learn how to use UX surveys to gain insights into user needs and attitudes toward system designs.,English,,Computer Science,3-4 hours per week,UX Research Surveys,English,Intermediate,MichiganX,FREE,3 weeks
An overview of introductory microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,English,None,Economics & Finance,3 – 4 hours per week,Introductory AP® Microeconomics,English,Introductory,MITx,FREE,12 weeks
"Move beyond the chatter and opinion surrounding parenting and learn about the scientific findings and data that can help you make sensible, informed parenting decisions.",English,None,Social Sciences,3-5 hours per week,The Science of Parenting,English,Introductory,UC San DiegoX,FREE,5 weeks
"Learn powerful data abstraction and decomposition techniques to build large, complex programs.",English,,Computer Science,8-10 hours per week,Software Construction: Data Abstraction,English,Introductory,UBCx,FREE,6 weeks
Learn how open education and open educational resources (OERs) are changing the rules of education and how to apply them to your everyday teaching.,English,None,Education & Teacher Training,2-4 hours per week,Open Education and OERs Repositories,English,Introductory,IEEEx,FREE,4 weeks
Learn how to write faster and more efficient code against the backdrop of famous algorithms.,English,Dev277x suggested,Computer Science,3-4 hours per week,Algorithms and Data Structures,English,Intermediate,Microsoft,FREE,5 weeks
Design Thinking is a creative process that combines thoughtful user research with rapid iteration. Learn why it becomes an industry standard all over the world.,English,"Basic programming & web development skills recommended, but not required.",Computer Science,3-4 hours per week,Introduction to Design Thinking,English,Introductory,Microsoft,FREE,5 weeks
Learn how to successfully design your research and understand the underlying principles of postgraduate research from an engineering perspective.,English,"The course is aimed at postgraduate engineering research at the masters and doctoral level. However, the content is accessible without any previous learning.",Engineering,2-3 hours per week,Research Methods: An Engineering Approach,English,Introductory,WitsX,FREE,6 weeks
Learn to use system dynamics to better understand complex medical issues and interventions.,English,Training in medicine or an associated discipline.,Medicine,2-4 hours per week,System Dynamics for Health Sciences,English,Intermediate,WitsX,FREE,6 weeks
Learn how to stress test your business model to help you anticipate change and harness your business model’s success.,English,Secondary school; basic notions about business and/or practical business experience,Business & Management,2-4 hours/week,Business Model Testing,English,Introductory,DelftX,FREE,8 weeks
Learn about proteins and the important role structure plays in their function as you learn how to analyze and align protein sequences.,English,Undergraduate biology,Biology & Life Sciences,8-10 hours per week,"Proteins: Alignment, Analysis and Structure",English,Advanced,USMx,FREE,8 weeks
Learn how to align and analyze DNA sequences using web and software based tools to find mutations and other anomalies in genes and genomic sequences.,English,Undergraduate biology,Biology & Life Sciences,8-10 hours per week,DNA Sequences: Alignments and Analysis,English,Advanced,USMx,FREE,8 weeks
"Learn how to troubleshoot Skype for Business related issues including firewall configuration, conferencing, persistent chat and more.",English,,Computer Science,3-5 hours per week,Troubleshooting Skype for Business,English,Intermediate,Microsoft,FREE,"4 weeks, self-paced"
"Learn how to implement and manage the various types of identities in Office 365, including cloud, synced and federated identities.",English,"Familiarity with Microsoft SharePoint, Microsoft SQL and PowerShell helpful.",Computer Science,4-6 hours per module,Manage Office 365 Identities,English,Advanced,Microsoft,FREE,Self-paced
Discover how medical imaging technologies are complementary and what information they provide to health professionals.,English,,Medicine,2-3 hours per week,Introduction to Biomedical Imaging,English,Introductory,UQx,FREE,12 weeks
Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in physics and engineering.,English,None,Chemistry,5-7 hours per week,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),English,Introductory,HarvardX,FREE,6 weeks
Learn how to build predictive solutions for big data using Microsoft Azure Machine Learning,English,"This course assumes some knowledge of:
• Building data processing pipelines with Azure Data Factory
• Building real-time data processing solutions with Azure Stream Analytics",Computer Science,3-4 hours per week,Developing Big Data Solutions with Azure Machine Learning,English,Intermediate,Microsoft,FREE,4 weeks
"From programming basics to DOM manipulation, learn to use JavaScript, the programming language of the Web, to create interactive webpages.",English,DEV284x – Designing a Technical Solution or basic knowledge of HTML and CSS,Computer Science,3-4 hours per week,Building Interactive Prototypes using JavaScript,English,Introductory,Microsoft,FREE,5 weeks
Learn the basics of back-end web development as you create a simple web application server using Node.js.,English,,Computer Science,3-4 hours per week,Building Functional Prototypes using Node.js,English,Introductory,Microsoft,FREE,5 weeks
Turn your idea into a prototype as you learn the process of designing and prototyping web applications to solve real problems.,English,None,Computer Science,3-4 hours per week,Designing a Technical Solution,English,Introductory,Microsoft,FREE,5 weeks
"One of the most important skills in software development is designing how code is organized. In this Java course, learn how to apply industry-standard practices as you structure your software.",English,"Students should be familiar with the basics of Java programming such as methods, parameters, returns, scope and data types.
Suggested prerequisite course: Dev276x",Computer Science,6-10 hours per week,Object Oriented Programming in Java,English,Intermediate,Microsoft,FREE,4 weeks
"Learn why developers love ReactJS, an open-source JavaScript library for building user interfaces, in this introductory course.",English,Solid foundation on JavaScript And HTML,Computer Science,3-4 hours per week,Introduction to ReactJS,English,Intermediate,Microsoft,FREE,3 weeks
"Learn how to use Hadoop technologies like HBase, Storm, and Spark in Microsoft Azure HDInsight to create real-time analytical solutions.",English,,Computer Science,2-3 hours per week,Implementing Real-Time Analytics with Hadoop in Azure HDInsight,English,Intermediate,Microsoft,FREE,4 weeks
Learn how to use Spark in Microsoft Azure HDInsight to create predictive analytics and machine learning solutions.,English,,Computer Science,4 hours per week,Implementing Predictive Analytics with Spark in Azure HDInsight,English,Intermediate,Microsoft,FREE,6 weeks
"Learn how to deploy, design, and load data using Microsoft's Azure SQL Data Warehouse.",English,,Computer Science,2-3 hours per week,Delivering a Data Warehouse in the Cloud,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to use Microsoft Project Portfolio Management (PPM) to successfully manage and align project portfolios with your business needs.,English,,Computer Science,2-4 hours per week,Managing Projects & Portfolios with Microsoft PPM,English,Intermediate,Microsoft,FREE,6 weeks
"From querying and modifying data in SQL Server or Azure SQL to programming with Transact-SQL, learn essential skills that employers need.",English,Basic understanding of databases and IT systems.,Computer Science,4-5 hours per week,Querying with Transact-SQL,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to plan and configure the infrastructure requirements for SharePoint Server 2016.,English,,Computer Science,3-5 hours per module,Microsoft SharePoint 2016: Infrastructure,English,Intermediate,Microsoft,FREE,9 weeks
Learn how to move your messaging system to Office 365 and how you can interact with the Microsoft FastTrack Center during your migration.,English,None,Computer Science,3-5 hours per module,Onboarding Messaging to Office 365,English,Intermediate,Microsoft,FREE,9 weeks
Learn how to manage and configure Exchange Online in Office 365. ,English,,Computer Science,3-5 hours per module,Managing Microsoft Exchange Online in Office 365,English,Intermediate,Microsoft,FREE,9 weeks
"The ability to analyze data with Python is critical in data science. Learn the basics, and move on to create stunning visualizations.",English,"Some experience in working with data from Excel, databases, or text files.",Data Analysis & Statistics,2-4 hours per week,Introduction to Python for Data Science,English,Introductory,Microsoft,FREE,6 weeks
"Develop your skills with Excel, one of the common tools that data scientists depend on to gather, transform, analyze, and visualize data.",English,,Data Analysis & Statistics,2-4 hours per week,Analyzing and Visualizing Data with Excel,English,Intermediate,Microsoft,FREE,6 weeks
"Learn Power BI, a powerful cloud-based service that helps data scientists visualize and share insights from their organizations’ data.",English,,Data Analysis & Statistics,2-4 hours per week,Analyzing and Visualizing Data with Power BI,English,Introductory,Microsoft,FREE,6 weeks
Learn how to create intelligent apps using Microsoft Azure machine learning APIs.,English,,Computer Science,3-4 hours per week,Developing Intelligent Apps and Bots,English,Intermediate,Microsoft,FREE,6 weeks
Learn effective strategies and methods for interpreting analytics and communicating insights to business audiences.,English,,Data Analysis & Statistics,2 hours per week,Interpreting and Communicating Data Insights in Business,English,Intermediate,Microsoft,FREE,4 weeks
"Learn how to use Microsoft R Server to analyze large datasets using R, one of the most powerful programming languages.",English,,Data Analysis & Statistics,4 hours per week,Analyzing Big Data with Microsoft R Server,English,Intermediate,Microsoft,FREE,4 weeks
"Learn to create mobile reports, paginated reports, and KPIs using business data with SQL Server Reporting Services (SSRS).",English,,Computer Science,2-3 hours per week,Analyzing and Visualizing Data with SQL Server Reporting Services,English,Intermediate,Microsoft,FREE,6 weeks
"Learn the technologies and features needed to create and design SQL databases, including how to implement SQL views, indexes and tables.",English,,Computer Science,2-3 hours per week,Developing SQL Databases,English,Intermediate,Microsoft,FREE,4 weeks
Get started on your Data Science journey.,English,None,Data Analysis & Statistics,2-4 hours per week,Microsoft Professional Program: Data Science Orientation,English,Introductory,Microsoft,FREE,6 weeks
"Learn the R statistical programming language, the lingua franca of data science in this hands-on course.",English,"None, but previous experience in basic mathematics is helpful.",Data Analysis & Statistics,2 hours per week,Introduction to R for Data Science,English,Introductory,Microsoft,FREE,4 weeks
"Explore data visualization and exploration concepts with experts from MIT and Microsoft, and get an introduction to machine learning.",English,,Computer Science,3-4 hours per week,Data Science Essentials,English,Intermediate,Microsoft,FREE,6 weeks
"Learn the fundamentals of programming with R, from reading and writing data to customizing visualizations and performing predictive analysis.",English,Introduction to R for Data Science will help.,Data Analysis & Statistics,4-8 hours per week,Programming with R for Data Science,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to add functionality to your database with programmatic database objects using the R programming language.,English,,Computer Science,2-3 hours per week,Creating Programmatic SQL Database Objects,English,Intermediate,Microsoft,FREE,4 weeks
Learn how to build robust databases that use transactional functionality and can support simultaneous users.,English,,Computer Science,2-3 hours per week,Managing SQL Database Transactions and Concurrency,English,Intermediate,Microsoft,FREE,2 weeks
"Learn how to design, build, load, and operate a relational data warehouse to support business intelligence (BI) and advanced analytics.",English,,Computer Science,2-3 hours per week,Delivering a Relational Data Warehouse,English,Intermediate,Microsoft,FREE,6 weeks
Learn how to plan and design the implementation and support of a mobile workforce across an enterprise.,English,This course requires basic computer knowledge and experience.,Computer Science,2-3 hours per week,Windows 10 Features for a Mobile Workforce: Identity Management and Data Access,English,Intermediate,Microsoft,FREE,4 weeks
"This course will help the IT professional with one of their biggest challenges, moving away from an earlier version of the Windows operating system (OS) to Windows 10.",English,"In addition to their professional experience, candidates who take this course should already have the following technical knowledge:

- Experience with Windows desktop administration, maintenance, and troubleshooting
- Basic experience and understanding of Windows networking technologies
- Introductory-level knowledge of Active Directory and Microsoft Intune",Computer Science,3-4 hours per week,Windows 10 Features for a Mobile Workforce: Windows and Devices in the Enterprise,English,Intermediate,Microsoft,FREE,4 weeks
Learn the fundamentals of NoSQL and explore several non-relational data storage options in Microsoft Azure.,English,- Relational Database Fundamentals - T-SQL Querying - Basic understanding of HTTP APIs and Requests,Computer Science,2-3 hours per week,Developing NoSQL Solutions in Azure,English,Intermediate,Microsoft,FREE,3 weeks
Learn how to use Azure Data Lake technologies to store and process big data in the cloud.,English,None,Data Analysis & Statistics,3-4 hours per week,Processing Big Data with Azure Data Lake Analytics,English,Advanced,Microsoft,FREE,4 weeks
Learn how to use Microsoft Azure technologies to process real-time data in the cloud.,English,None,Data Analysis & Statistics,3-4 hours per week,Processing Real-Time Data Streams in Azure,English,Advanced,Microsoft,FREE,4 weeks
Learn how to design and develop software for international use from experts who’ve helped create some of the world’s most successful software.,English,,Computer Science,3-5 hours per week,Developing International Software,English,Intermediate,Microsoft,FREE,12 weeks
Learn how to build an ASP.NET MVC application on the Microsoft Azure platform.,English,This is not a beginner’s course on Microsoft Azure. Students should have software development experience including working knowledge of the Microsoft Azure platform. Students should also have a general understanding of C# concepts for the labs.,Computer Science,3-4 hours per week,Developing Microsoft Azure Solutions,English,Intermediate,Microsoft,FREE,6 weeks
"Expand your JavaScript knowledge with the latest asynchronous programming techniques, including JavaScript Promises and Generators.",English,,Computer Science,3-4 hours per week,Asynchronous Programming with JavaScript,English,Intermediate,Microsoft,FREE,4 weeks
Learn to manage Windows 10 desktop and application deployments as well as cloud-based application and data service environments for medium-to-large enterprises.,English,"In addition to their professional experience, candidates who take this course should already have the following technical knowledge:

- Experience with Windows desktop administration, maintenance, and troubleshooting
- Basic experience and understanding of Windows networking technologies
- Introductory-level knowledge of Active Directory and Microsoft Intune

Candidates can take this exam and meet the prerequisites by obtaining equivalent knowledge and skills through practical experience as a Windows device support technician or a Windows device system administrator.",Computer Science,3-4 hours per week,Windows 10 Features for a Mobile Workforce: Managing and Maintaining Devices in the Enterprise,English,Intermediate,Microsoft,FREE,3 weeks
"Learn about new features in the Windows 10 anniversary update and how to configure OneDrive, WiFi direct and use the Windows encrypting file system (EFS).   ",English,,Computer Science,3-4 hours per week,Windows 10 Features for a Mobile Workforce: Configuring Additional Resources,English,Intermediate,Microsoft,FREE,3 weeks
The first MOOC to teach Human Anatomy from multiple healthcare professional perspectives through a case-based study of stroke.,English,None,Biology & Life Sciences,2-4 hours per week (depending on background),Human Anatomy,English,Introductory,HKPolyUx,FREE,6 weeks
Get started on the path to becoming a software engineer by learning core coding skills in Java—one of the most popular programming languages.,English,None,Computer Science,6-10 hours per week,Learn to Program in Java,English,Introductory,Microsoft,FREE,4 weeks
"This course will help students who have taken an introductory level biology course get ready for more advanced courses, including AP Biology.",English,,Biology & Life Sciences,5-8 hours per week,On Ramp to AP* Biology,English,Introductory,Weston High School,FREE,2 weeks
"Build up your Azure Toolkit, and see how easy it is to integrate Azure services, like Cognitive Services and Cosmos DB, into your apps.",English,"Basic programming skills are required. Experience programming in C, Java, JavaScript, or C# will be beneficial.",Computer Science,2-3 hours per week,Building Your Azure Skills Toolkit,English,Introductory,Microsoft,FREE,5 weeks
In this introduction to finance course from Michigan learn to apply frameworks and smart tools for understanding and making everyday financial decisions.,English,,Economics & Finance,5-6 hours per week,Finance for Everyone: Smart Tools for Decision-Making,English,Introductory,MichiganX,FREE,6 weeks
Understand the evolution of Alzheimer’s Disease through a molecular and genetic perspective and the contribution of a biological approach to the prevention and treatment of this disease.,English,Background on biology and molecular biology,Biology & Life Sciences,2-3 hours per week,Understanding Alzheimer’s Disease: A Molecular and Genetic Approach,English,Intermediate,UTSanAntonioX,FREE,6 weeks
"Learn the multifaceted structures and functions of the cardiovascular, urinary, and respiratory systems.",English,Basic biology,Biology & Life Sciences,2-3 hours per week,"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",English,Introductory,MichiganX,FREE,4 weeks
Learn an intuitive approach to building the complex models that help machines solve real-world problems with human-like intelligence.,English,,Computer Science,4-8 hours per week,Deep Learning Explained,English,Intermediate,Microsoft,FREE,6 weeks
"Learn how to build business apps that work on phones, tablets and browsers without writing any code.",English,"- Understand basic concepts of data such as Excel tables
- Knowledge of simple Excel formulas and basic programming logic will help",Computer Science,4-8 hours per week,Developing Business Applications with Power Apps and Microsoft Flow,English,Introductory,Microsoft,FREE,6 weeks
"Learn about the integumentary system (skin, hair, nails, and glands), and how the bones, joints, and muscles of the musculoskeletal system function.",English,Basic biology,Biology & Life Sciences,2-3 hours per week,Anatomy: Musculoskeletal and Integumentary Systems,English,Introductory,MichiganX,FREE,4 weeks
"Learn how Windows Server 2016 storage solutions help you improve performance, optimize and reduce the cost of storage.",English,"- General understanding of storage technologies.
- Windows PowerShell will be the preferred tool when implementing features in this course.",Computer Science,3-4 hours per week,Windows Server 2016: Advanced Storage,English,Intermediate,Microsoft,FREE,4 weeks
Learn to develop customer relationships through a deepened understanding of the concepts and best practices of CRM.,English,Familiarity with marketing concepts will be helpful.,Business & Management,3-5 hours per week,Customer Relationship Management,English,Intermediate,IIMBx,FREE,6 weeks
Learn the design fundamentals of a real-time operating system (RTOS) and how to build a Bluetooth network in this hands-on project-based course.,English,,Computer Science,10 hours per week,Real-Time Bluetooth Networks - Shape the World,English,Intermediate,UTAustinX,FREE,"6-7 weeks of content to be completed at student's own pace during 13 week window (Sept 15 - Dec 15, 2016)"
"Gain insights into the complex nature of land management and learn about terms, tasks and challenges related to our land.",English,None,Environmental Studies,2-5 hours per week,Introduction to Land Management,English,Introductory,TUMx,FREE,6 weeks
"Explore key issues in human geography, including population, migration, cultural patterns and more as you prepare for the AP exam.",English,Advanced secondary school (high school) level,Social Sciences,2-3 hours per week,Introduction to AP* Human Geography,English,Introductory,UTAustinX,FREE,14 weeks
"This course is an overview of divination systems, ranging from ancient Chinese bone burning to modern astrology.",English,None,Social Sciences,3-5 hours per week,PredictionX: Diviner’s Guide,English,Introductory,HarvardX,FREE,1 week
"Learn how to design more complex programs, using new data structures, abstraction, and generative recursion.",English,,Computer Science,8-10 hours per week,How to Code: Complex Data,English,Introductory,UBCx,FREE,6 weeks
"Learn how to confidently manage your diabetes and live a healthy, happy life.",English,None,Medicine,3-4 hours per week,Life with Diabetes,English,Introductory,CurtinX,FREE,5 weeks
"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.",English,None,Business & Management,1-3 hours per week,Becoming an Entrepreneur,English,Introductory,MITx,FREE,6 weeks
"Basic concepts and algorithms for locomotion, perception, and intelligent navigation.",English,"Good basic mathematics, physics, system modeling and control.",Computer Science,5 hours per week; 75 hours of material covered,Autonomous Mobile Robots,English,Intermediate,ETHx,FREE,15 weeks
"Design new (bio)catalytic conversion routes to use biobased feedstocks to their highest potential as building blocks for chemicals, materials and fuels.",English,"BSc in technology, engineering (and applied) sciences. You should have at least BSc level knowledge on courses and topics such as chemistry, mathematics and process engineering.

Successful completion of BB01x, BB02x and BB03x is advised, but not obligatory.",Chemistry,15 hours per week,Advanced Biobased Conversion,English,Advanced,WageningenX,FREE,6 weeks
Position your organization for success by learning how to evaluate research and evidence to identify and support key marketing strategies.,English,"Students are required to have completed EBM01x, and ideally, students should also have completed EBM02x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.",Business & Management,8-10 hours per week,Evidence-Based Stakeholder Marketing,English,Intermediate,ANUx,FREE,6 weeks
Learn how to bridge from diverse genomic assay and annotation structures to data analysis and research presentations via innovative approaches to computing.,English,"PH525.3x, PH525.4x",Biology & Life Sciences,2 – 4 hours per week,High-performance Computing for Reproducible Genomics,English,Advanced,HarvardX,FREE,4 weeks
"Explore data analysis of several experimental protocols, using open source software, including R and Bioconductor.",English,"PH525.3x, PH525.4x",Biology & Life Sciences,2-4 hours per week,Case Studies in Functional Genomics,English,Advanced,HarvardX,FREE,4 weeks
"The structure, annotation, normalization, and interpretation of genome scale assays.",English,"PH525.3x, PH525.4x",Biology & Life Sciences,2-4 hours per week,Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,English,Intermediate,HarvardX,FREE,4 weeks
Learn about the UX design process by taking a UX design project from wireframes to a design specification document.,English,,Computer Science,3-4 hours per week,UX Design: From Wireframe to Prototype,English,Intermediate,MichiganX,FREE,3 weeks
Develop a set of skills and characteristics that expand beyond technical proficiency to become a successful cybersecurity professional.,English,Curiosity and interest in cybersecurity,Computer Science,2-5 hours per week,Building a Cybersecurity Toolkit,English,Introductory,UWashingtonX,FREE,4 weeks
Learn the basics of crop production and find out how to feed the future world population without depleting our planet’s resources!,English,Undergraduate basic biology,Environmental Studies,6-8 hours per week,Sustainable Food Security: Crop Production,English,Intermediate,WageningenX,FREE,6 weeks
"Build on what you learned in the “Introduction to Python: Absolute Beginner” course, and dig into data structure basics.",English,Recommended: Dev236x,Computer Science,3-4 hours per week,Introduction to Python: Fundamentals,English,Introductory,Microsoft,FREE,5 weeks
Learn key marketing concepts to implement customer acquisition strategies to find the right customers and grow your business.,English,None,Business & Management,4-6 hours per week,Marketing Fundamentals: Who Is Your Customer?,English,Introductory,BabsonX,FREE,4 weeks
Learn how to create the best gameplay by understanding algorithmic thinking in simple programming problems and applying it to game design.,English,None,Computer Science,3 hours per week,Gameplay Programming for Video Game Designers,English,Introductory,RITx,FREE,5 weeks
"An introduction to cybersecurity, ideal for learners who are curious about the world of Internet security and who want to be literate in the field.",English,Curiosity and interest in cybersecurity,Computer Science,2-5 hours per week,Introduction to Cybersecurity,English,Introductory,UWashingtonX,FREE,4 weeks
Learn how to be successful in your job search by creating a compelling CV / résumé and cover letter.,English,None,Humanities,2-4 hours per week,English at Work in Asia: Job Applications,English,Introductory,HKPolyUx,FREE,5 weeks
Learn how to successfully ace your job interviews to get promotions and secure a new job.,English,None,Communication,2-4 hours per week,English at Work in Asia: Job Interviews,English,Introductory,HKPolyUx,FREE,4 weeks
"Learn about the Law of the International Community, including how International Law is created, applied and upheld in today's world.",English,,Humanities,5-7 hours per week,International Law,English,Advanced,LouvainX,FREE,10 weeks
Unlock the power of big data with an overview of Apache Hadoop and get hands-on practice setting up your own Hadoop instance.,English,,Computer Science,3-4 hours per week,Introduction to Apache Hadoop,English,Introductory,LinuxFoundationX,FREE,15 weeks
Learn practical techniques for using Red Hat® Enterprise Linux® and how to perform basic system administration tasks.,English,No previous Linux administration experience is required. Familiarity with basic system administration concepts will be helpful.,Computer Science,1 – 3 hours per week,Fundamentals of Red Hat Enterprise Linux,English,Introductory,Red Hat,FREE,9 weeks
Learn the latest processes for keeping data secure in Azure and SQL Server.,English,,Computer Science,2-3 hours per week,Securing Data in Azure and SQL Server,English,Intermediate,Microsoft,FREE,4 weeks
Be prepared. Learn how to use Azure and SQL Server to back up and recover your data.,English,,Computer Science,2-3 hours per week,Recovering Data in Azure and SQL Server,English,Intermediate,Microsoft,FREE,4 weeks
