course_link,languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
Learn the physics of how things move with this calculus-based course in mechanics.,Secondary school (high school) algebra and trigonometry. Calculus is needed but can be learned concurrently.,"Introduction to Mechanics, Part 1",4 to 6 hours per week,https://www.edx.org/course/introduction-mechanics-part-1-ricex-phys-101-1x,6 weeks,English,FREE,English,Intermediate,Physics,RiceX
Become a better manager by critically evaluating key management theories and concepts that form the foundation of modern management thinking.,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,Evidence-Based Management Foundations,8-10 hours per week,https://www.edx.org/course/evidence-based-management-foundations-anux-ebm04x,6 weeks,English,FREE,English,Intermediate,Business & Management,ANUx
Prepare for the TOEFL® test and learn how to improve your score and English language skills from the experts who create the exam.,None,TOEFL® Test Preparation: The Insider’s Guide,2-4 hours per week,https://www.edx.org/course/toeflr-test-preparation-insiders-guide-etsx-toeflx-3,13 weeks,English,FREE,English,Introductory,Language,ETSx
"In the era of Smart Cities, learn the principles of urban infrastructure management and find ways to incorporate smart technologies into legacy infrastructures.","All passionate learners interested in Smart Cities are welcomed. The course does not have any pre-requisites. However, in order to make the best of this MOOC, we strongly encourage you to enroll in our previous MOOC on the Management of Urban Infrastructures, which has been widely appraised by learners.","Smart Cities, Management of Smart Urban Infrastructures",3-4 hours per week,https://www.edx.org/course/smart-cities-management-smart-urban-epflx-mui2x,5 weeks,English,FREE,English,Introductory,Business & Management,EPFLx
Learn the principles of managing urban infrastructure systems – the complex socio-technical systems that provide basic services to more than 50% of the world’s population.,No background is required; all passionate learners interested in managing and governing urban infrastructure systems are welcomed.,Urban Infrastructure Management,2-3 hours per week,https://www.edx.org/course/urban-infrastructure-management-epflx-mui1x,5 weeks,English,FREE,English,Introductory,Business & Management,EPFLx
Writing professional code is a team sport. Learn how to elevate your game to the next level.,•  Knowledge of C# is required,Writing Professional Code,3-4 hours per week,https://www.edx.org/course/writing-professional-code-microsoft-dev275x,4 weeks,English,FREE,English,Intermediate,Computer Science,Microsoft
,None,Introduction to C#,3-5 hours per week,https://www.edx.org/course/introduction-c-microsoft-dev204-1x,3 weeks,English,FREE,English,Introductory,Computer Science,Microsoft
Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.,Curiosity and interest in cybersecurity,Cybersecurity: The CISO's View,2-5 hours per week,https://www.edx.org/course/cybersecurity-cisos-view-uwashingtonx-cyb002x,4 weeks,English,FREE,English,Introductory,Computer Science,UWashingtonX
An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,,Statistics and R,2-4 hours per week,https://www.edx.org/course/statistics-r-harvardx-ph525-1x-0,4 weeks,English,FREE,English,Intermediate,Biology & Life Sciences,HarvardX
Learn to use R programming to apply linear models to analyze data in life sciences.,,Introduction to Linear Models and Matrix Algebra,2-4 hours per week,https://www.edx.org/course/introduction-linear-models-matrix-harvardx-ph525-2x-1,4 weeks,English,FREE,English,Intermediate,Biology & Life Sciences,HarvardX
A focus on the techniques commonly used to perform statistical inference on high throughput data.,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra",Statistical Inference and Modeling for High-throughput Experiments,2-4 hours per week,https://www.edx.org/course/statistical-inference-modeling-high-harvardx-ph525-3x-0,4 weeks,English,FREE,English,Intermediate,Biology & Life Sciences,HarvardX
A focus on several techniques that are widely used in the analysis of high-dimensional data.,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra, OR PH525.3x",High-Dimensional Data Analysis,2-4 hours per week,https://www.edx.org/course/high-dimensional-data-analysis-harvardx-ph525-4x-0,4 weeks,English,FREE,English,Advanced,Biology & Life Sciences,HarvardX
"Learn how to conduct effective user research to better understand what users love, hate, want and need.",,Understanding User Needs,3-4 hours per week,https://www.edx.org/course/understanding-user-needs-michiganx-ux502x,4 weeks,English,FREE,English,Intermediate,Computer Science,MichiganX
